geneNames	geneIDs	feature	id	fc	pval	qval
aroE	MSTRG.22	transcript	25	6.30538693739689e-07	0.0268982490196938	0.928695521035182
.	MSTRG.37	transcript	43	0.0988251543867182	0.0234999531385077	0.928695521035182
.	MSTRG.46	transcript	52	1.30201282707281e-05	0.0362466849657861	0.928695521035182
.	MSTRG.64	transcript	74	275.22131805252	0.0138690935070656	0.928695521035182
fha1	MSTRG.64	transcript	84	0.000124698946753665	0.0302130675708672	0.928695521035182
.	MSTRG.65	transcript	91	303982.607897725	0.025002859222011	0.928695521035182
.	MSTRG.156	transcript	208	5961.52770739564	0.030884704783489	0.928695521035182
pcaB	MSTRG.175	transcript	234	0.0347207652699687	0.0219114639521746	0.928695521035182
.	MSTRG.185	transcript	245	38351.7290890121	0.00839552350270767	0.928695521035182
.	MSTRG.210	transcript	272	0.0270041003193018	0.0166525938090354	0.928695521035182
cysT	MSTRG.223	transcript	286	812.155999115695	0.0418361805665352	0.928695521035182
serA	MSTRG.257	transcript	321	0.113241627308825	0.0470419133119693	0.928695521035182
.	MSTRG.274	transcript	340	2.39010169623472e-06	0.0286355384736423	0.928695521035182
.	MSTRG.286	transcript	353	15.1060789890248	0.0241361501912982	0.928695521035182
.	MSTRG.296	transcript	364	1.07728439000269e-06	0.00531907386523489	0.928695521035182
.	MSTRG.301	transcript	369	621130.761595735	0.049537955654293	0.928695521035182
.	MSTRG.306	transcript	374	761.351735094401	0.0222772177452826	0.928695521035182
.	MSTRG.331	transcript	405	3.00740888759316e-07	0.0374246929246619	0.928695521035182
pilH	MSTRG.338	transcript	414	1.27889240440728e-06	0.0097330401183906	0.928695521035182
chpC	MSTRG.342	transcript	420	18.7387125469207	0.0326850926986975	0.928695521035182
dht	MSTRG.366	transcript	446	374497.139269366	0.0277481104771857	0.928695521035182
.	MSTRG.374	transcript	455	0.433757799494459	0.0223103642018525	0.928695521035182
creB	MSTRG.387	transcript	469	0.000119975259542401	0.0169255409054143	0.928695521035182
creD	MSTRG.388	transcript	471	3126.60933522695	0.0256030089696646	0.928695521035182
glcB	MSTRG.404	transcript	488	646210.360477944	0.0461837308768025	0.928695521035182
.	MSTRG.415	transcript	499	6.45606058532367e-06	0.024301614520412	0.928695521035182
norB	MSTRG.435	transcript	530	0.00134629904779949	0.0397187312153154	0.928695521035182
rsmY	MSTRG.439	transcript	534	245.64507312758	0.014508408841489	0.928695521035182
.	MSTRG.453	transcript	549	4.43622208435509e-07	0.0471115757061731	0.928695521035182
.	MSTRG.456	transcript	552	4.98332828978608e-11	0.0262964650198512	0.928695521035182
.	MSTRG.467	transcript	564	22144.082987884	0.0164333130883796	0.928695521035182
.	MSTRG.477	transcript	574	228653514.392545	0.0328878191467559	0.928695521035182
.	MSTRG.507	transcript	611	1087.62781153279	0.0384058657565485	0.928695521035182
.	MSTRG.508	transcript	612	553210.45698173	0.0319669576964628	0.928695521035182
trpG	MSTRG.538	transcript	655	581.148183584587	0.0497282843734638	0.928695521035182
vfr	MSTRG.540	transcript	658	9.40461561257942e-06	0.0228450055917566	0.928695521035182
.	MSTRG.557	transcript	676	58864.7721739005	0.0233727796369545	0.928695521035182
.	MSTRG.574	transcript	702	0.691414450417952	0.0427587318251792	0.928695521035182
.	MSTRG.577	transcript	710	4.58000741617237e-13	0.00451817729883341	0.928695521035182
.	MSTRG.582	transcript	716	10.2545400039167	0.00963031824850924	0.928695521035182
.	MSTRG.605	transcript	739	373.095167815126	0.0290949632287965	0.928695521035182
.	MSTRG.621	transcript	758	19144221.2872589	0.00453080049252175	0.928695521035182
.	MSTRG.628	transcript	765	38415790746892	0.0258282573133366	0.928695521035182
.	MSTRG.633	transcript	772	8.67770137099247	0.00271273990632859	0.928695521035182
pdxJ	MSTRG.644	transcript	787	0.000669185929273301	0.00894558463525474	0.928695521035182
.	MSTRG.646	transcript	790	13904.96989157	0.0171942126470744	0.928695521035182
prpD	MSTRG.663	transcript	807	55811284180889894912	0.0490661960290886	0.928695521035182
.	MSTRG.712	transcript	864	4394390.71103321	0.0303134153521337	0.928695521035182
.	.	transcript	898	50.1314520935765	0.0449380801342959	0.928695521035182
aruF	MSTRG.756	transcript	914	3949.57756367632	0.00154398496499941	0.928695521035182
aruG	MSTRG.757	transcript	915	1750.95282406686	0.0035643642169757	0.928695521035182
oprD	MSTRG.809	transcript	982	3842.12136396282	0.0281886776404328	0.928695521035182
.	MSTRG.837	transcript	1011	0.465811180058966	0.046356936875922	0.928695521035182
.	MSTRG.867	transcript	1049	189.136479123957	0.025863484307423	0.928695521035182
.	MSTRG.872	transcript	1054	0.000314226337039568	0.0242572500890337	0.928695521035182
.	MSTRG.903	transcript	1093	0.00249750106405396	0.0355077762644782	0.928695521035182
braG	MSTRG.906	transcript	1096	135805727.018369	0.0065354621907856	0.928695521035182
braC	MSTRG.908	transcript	1100	365528.76678421	0.0142064275608054	0.928695521035182
.	MSTRG.937	transcript	1132	5.08346414374545e-05	0.0321701388514662	0.928695521035182
.	MSTRG.939	transcript	1134	0.0115126967470527	0.0197339099909047	0.928695521035182
.	MSTRG.941	transcript	1136	0.00339983267305313	2.31720926981982e-05	0.132011412101635
.	MSTRG.945	transcript	1140	0.040405364270863	0.020949921012603	0.928695521035182
.	MSTRG.958	transcript	1156	0.00103225203645155	0.00410900881911425	0.928695521035182
.	MSTRG.962	transcript	1161	0.000122760100415735	0.012053486180888	0.928695521035182
.	MSTRG.976	transcript	1175	0.00790035093534279	0.0305635335241141	0.928695521035182
nrdB	MSTRG.983	transcript	1183	0.000287470897113553	0.0314423327906751	0.928695521035182
.	MSTRG.1011	transcript	1216	0.0222931505844943	0.014161669414633	0.928695521035182
.	MSTRG.1013	transcript	1218	597848548767.306	0.0319660057592954	0.928695521035182
.	MSTRG.1078	transcript	1309	0.125214844534514	0.00613554808567462	0.928695521035182
.	MSTRG.1091	transcript	1322	0.0237517613658889	0.0443875741915433	0.928695521035182
cyoD	MSTRG.1115	transcript	1349	5.79769925409903e-05	0.0245075454414696	0.928695521035182
ilvA2	MSTRG.1121	transcript	1356	70.4264638931119	0.0159913997152044	0.928695521035182
.	MSTRG.1134	transcript	1372	11991649.2683669	0.00248148407697624	0.928695521035182
.	MSTRG.1169	transcript	1410	0.0277673517252824	0.00798495142580546	0.928695521035182
.	MSTRG.1176	transcript	1418	11.4203664467218	0.0185311497482521	0.928695521035182
.	MSTRG.1181	transcript	1424	258162.553410639	0.0226190036926114	0.928695521035182
.	MSTRG.1191	transcript	1434	133570772.011277	0.029869322561862	0.928695521035182
aphA	MSTRG.1196	transcript	1439	14841.0996036828	0.0469599061564021	0.928695521035182
.	MSTRG.1197	transcript	1440	10286085.0587992	0.0390277164562989	0.928695521035182
.	MSTRG.1202	transcript	1445	2.20821904630044e-05	0.021290583398634	0.928695521035182
fleN	MSTRG.1235	transcript	1485	0.186310700635562	0.00843929369870255	0.928695521035182
.	MSTRG.1235	transcript	1490	0.00971578720080874	0.0268201381491593	0.928695521035182
.	MSTRG.1264	transcript	1529	9.03779527648465e-05	0.00735144949520317	0.928695521035182
pykF	MSTRG.1265	transcript	1530	19872.2737992109	0.0245321494695554	0.928695521035182
xdhA	MSTRG.1287	transcript	1556	1.24783518537454e-08	0.0248080960538641	0.928695521035182
.	MSTRG.1293	transcript	1562	0.000949291084948476	0.0270534347007518	0.928695521035182
.	MSTRG.1307	transcript	1578	1.39608269930379	0.0266907124935432	0.928695521035182
.	MSTRG.1309	transcript	1581	4.03212921184009e-05	0.0218714398417978	0.928695521035182
.	MSTRG.1330	transcript	1611	0.0229513218489614	0.0167221976316827	0.928695521035182
sucA	MSTRG.1339	transcript	1621	0.0154245578401329	0.0228687472876959	0.928695521035182
.	MSTRG.1355	transcript	1640	0.0206597377459651	0.0255541874961438	0.928695521035182
fabB	MSTRG.1360	transcript	1645	0.000334273331977894	0.0191498629517404	0.928695521035182
.	MSTRG.1394	transcript	1684	0.00302385170214322	0.0358592485109005	0.928695521035182
.	MSTRG.1434	transcript	1739	1.47820848272769e-11	0.0137955067986821	0.928695521035182
pscH	MSTRG.1447	transcript	1758	2.04496909676087e-06	0.0416825879922396	0.928695521035182
.	MSTRG.1463	transcript	1778	5.76957277215895e-06	0.0149144774906129	0.928695521035182
.	MSTRG.1485	transcript	1801	93.8888122655889	0.0261078762510969	0.928695521035182
nirB	MSTRG.1502	transcript	1818	12.7201257593718	0.00990117376614297	0.928695521035182
acnB	MSTRG.1507	transcript	1825	5.47844636874385	0.0191775869424237	0.928695521035182
.	MSTRG.1561	transcript	1888	2.86320925586584	0.0186766080914513	0.928695521035182
str	MSTRG.1577	transcript	1904	0.000470743756973764	0.0243605321499084	0.928695521035182
